linea,estacion,anio,mes,afluencia
Linea 12,Atlalilco,2010,01,0
Linea 12,Atlalilco,2010,02,0
Linea 12,Atlalilco,2010,03,0
Linea 12,Atlalilco,2010,04,0
Linea 12,Atlalilco,2010,05,0
Linea 12,Atlalilco,2010,06,0
Linea 12,Atlalilco,2010,07,0
Linea 12,Atlalilco,2010,08,0
Linea 12,Atlalilco,2010,09,0
Linea 12,Atlalilco,2010,10,0
Linea 12,Atlalilco,2010,11,0
Linea 12,Atlalilco,2010,12,0
Linea 12,Atlalilco,2011,01,0
Linea 12,Atlalilco,2011,02,0
Linea 12,Atlalilco,2011,03,0
Linea 12,Atlalilco,2011,04,0
Linea 12,Atlalilco,2011,05,0
Linea 12,Atlalilco,2011,06,0
Linea 12,Atlalilco,2011,07,0
Linea 12,Atlalilco,2011,08,0
Linea 12,Atlalilco,2011,09,0
Linea 12,Atlalilco,2011,10,0
Linea 12,Atlalilco,2011,11,0
Linea 12,Atlalilco,2011,12,0
Linea 12,Atlalilco,2012,01,0
Linea 12,Atlalilco,2012,02,0
Linea 12,Atlalilco,2012,03,0
Linea 12,Atlalilco,2012,04,0
Linea 12,Atlalilco,2012,05,0
Linea 12,Atlalilco,2012,06,0
Linea 12,Atlalilco,2012,07,0
Linea 12,Atlalilco,2012,08,0
Linea 12,Atlalilco,2012,09,0
Linea 12,Atlalilco,2012,10,0
Linea 12,Atlalilco,2012,11,172596
Linea 12,Atlalilco,2012,12,211606
Linea 12,Atlalilco,2013,01,231419
Linea 12,Atlalilco,2013,02,228601
Linea 12,Atlalilco,2013,03,240146
Linea 12,Atlalilco,2013,04,269082
Linea 12,Atlalilco,2013,05,288605
Linea 12,Atlalilco,2013,06,286967
Linea 12,Atlalilco,2013,07,305938
Linea 12,Atlalilco,2013,08,325000
Linea 12,Atlalilco,2013,09,313383
Linea 12,Atlalilco,2013,10,354722
Linea 12,Atlalilco,2013,11,331581
Linea 12,Atlalilco,2013,12,290894
Linea 12,Atlalilco,2014,01,292828
Linea 12,Atlalilco,2014,02,282228
Linea 12,Atlalilco,2014,03,1047935
Linea 12,Atlalilco,2014,04,1449019
Linea 12,Atlalilco,2014,05,1542506
Linea 12,Atlalilco,2014,06,1434904
Linea 12,Atlalilco,2014,07,1437123
Linea 12,Atlalilco,2014,08,1472970
Linea 12,Atlalilco,2014,09,1384568
Linea 12,Atlalilco,2014,10,1458009
Linea 12,Atlalilco,2014,11,1490985
Linea 12,Atlalilco,2014,12,1251072
Linea 12,Atlalilco,2015,01,1437424
Linea 12,Atlalilco,2015,02,1373146
Linea 12,Atlalilco,2015,03,1305102
Linea 12,Atlalilco,2015,04,1219074
Linea 12,Atlalilco,2015,05,1266004
Linea 12,Atlalilco,2015,06,1267495
Linea 12,Atlalilco,2015,07,1271472
Linea 12,Atlalilco,2015,08,1286143
Linea 12,Atlalilco,2015,09,1267434
Linea 12,Atlalilco,2015,10,1260553
Linea 12,Atlalilco,2015,11,338300
Linea 12,Atlalilco,2015,12,358991
Linea 12,Atlalilco,2016,01,352779
Linea 12,Atlalilco,2016,02,366410
Linea 12,Atlalilco,2016,03,328074
Linea 12,Atlalilco,2016,04,385436
Linea 12,Atlalilco,2016,05,382778
Linea 12,Atlalilco,2016,06,374696
Linea 12,Atlalilco,2016,07,361545
Linea 12,Atlalilco,2016,08,398783
Linea 12,Atlalilco,2016,09,383361
Linea 12,Atlalilco,2016,10,404143
Linea 12,Atlalilco,2016,11,387518
Linea 12,Atlalilco,2016,12,372128
Linea 12,Atlalilco,2017,01,378388
Linea 12,Atlalilco,2017,02,363238
Linea 12,Atlalilco,2017,03,414700
Linea 12,Atlalilco,2017,04,352755
Linea 12,Atlalilco,2017,05,400070
Linea 12,Atlalilco,2017,06,395023
Linea 12,Atlalilco,2017,07,378329
Linea 12,Atlalilco,2017,08,417821
Linea 12,Atlalilco,2017,09,276868
Linea 12,Atlalilco,2017,10,398094
Linea 12,Atlalilco,2017,11,400091
Linea 12,Atlalilco,2017,12,376531
Linea 12,Atlalilco,2018,01,387481
Linea 12,Atlalilco,2018,02,351904
Linea 12,Atlalilco,2018,03,393237
Linea 12,Atlalilco,2018,04,403639
Linea 12,Atlalilco,2018,05,422531
Linea 12,Atlalilco,2018,06,409606
Linea 12,Atlalilco,2018,07,402249
Linea 12,Atlalilco,2018,08,447994
Linea 12,Atlalilco,2018,09,422358
Linea 12,Atlalilco,2018,10,466467
Linea 12,Atlalilco,2018,11,413826
Linea 12,Atlalilco,2018,12,390356
Linea 12,Atlalilco,2019,01,423600
Linea 12,Atlalilco,2019,02,409169
Linea 12,Atlalilco,2019,03,419782
Linea 12,Atlalilco,2019,04,393104
Linea 12,Atlalilco,2019,05,462717
Linea 12,Atlalilco,2019,06,420804
Linea 12,Atlalilco,2019,07,423349
Linea 12,Atlalilco,2019,08,455792
Linea 12,Atlalilco,2019,09,410827
Linea 12,Atlalilco,2019,10,437761
Linea 12,Atlalilco,2019,11,448132
Linea 12,Atlalilco,2019,12,407796
Linea 12,Atlalilco,2020,01,413458
Linea 12,Atlalilco,2020,02,401203
Linea 12,Atlalilco,2020,03,355287
Linea 12,Atlalilco,2020,04,150846
Linea 12,Atlalilco,2020,05,128079
Linea 12,Atlalilco,2020,06,156893
Linea 12,Atlalilco,2020,07,197367
Linea 12,Atlalilco,2020,08,212428
Linea 12,Atlalilco,2020,09,219658
Linea 12,Atlalilco,2020,10,245657
Linea 12,Atlalilco,2020,11,233162
Linea 12,Atlalilco,2020,12,229774
Linea 12,Atlalilco,2021,01,185771
Linea 12,Atlalilco,2021,02,191478
Linea 12,Atlalilco,2021,03,230386
Linea 12,Atlalilco,2021,04,222473
Linea 12,Atlalilco,2021,05,17615
Linea 12,Atlalilco,2021,06,0
Linea 12,Atlalilco,2021,07,0
Linea 12,Atlalilco,2021,08,0
Linea 12,Atlalilco,2021,09,0
Linea 12,Atlalilco,2021,10,0
Linea 12,Atlalilco,2021,11,0
Linea 12,Atlalilco,2021,12,0
Linea 12,Atlalilco,2022,01,0
Linea 12,Atlalilco,2022,02,0
Linea 12,Atlalilco,2022,03,0
Linea 12,Atlalilco,2022,04,0
Linea 12,Atlalilco,2022,05,0
Linea 12,Atlalilco,2022,06,0
Linea 12,Atlalilco,2022,07,0
Linea 12,Atlalilco,2022,08,0
Linea 12,Atlalilco,2022,09,0
Linea 12,Atlalilco,2022,10,0
Linea 12,Atlalilco,2022,11,0
Linea 12,Atlalilco,2022,12,0
Linea 12,Atlalilco,2023,01,407156
Linea 12,Atlalilco,2023,02,732198
Linea 12,Atlalilco,2023,03,814810
Linea 12,Atlalilco,2023,04,740483
Linea 12,Atlalilco,2023,05,852961
Linea 12,Atlalilco,2023,06,739155
Linea 12,Atlalilco,2023,07,510956
Linea 12,Atlalilco,2023,08,314373
Linea 12,Atlalilco,2023,09,312136
Linea 12,Atlalilco,2023,10,328277
Linea 12,Atlalilco,2023,11,309717
Linea 12,Atlalilco,2023,12,282383
Linea 12,Atlalilco,2024,01,280947
Linea 12,Atlalilco,2024,02,342741
Linea 12,Atlalilco,2024,03,340518
Linea 12,Atlalilco,2024,04,358862
Linea 12,Atlalilco,2024,05,364734
Linea 12,Atlalilco,2024,06,344388
Linea 12,Atlalilco,2024,07,361028
Linea 12,Atlalilco,2024,08,378169
Linea 12,Atlalilco,2024,09,362231
Linea 12,Atlalilco,2024,10,382716
Linea 12,Atlalilco,2024,11,359933
Linea 12,Atlalilco,2024,12,331337
Linea 12,Atlalilco,2025,01,341382
Linea 12,Atlalilco,2025,02,331060
Linea 12,Atlalilco,2025,03,372210
Linea 12,Atlalilco,2025,04,347179
Linea 12,Atlalilco,2025,05,366499
Linea 12,Atlalilco,2025,06,355144
Linea 12,Atlalilco,2025,07,366722
Linea 12,Atlalilco,2025,08,366151
Linea 12,Atlalilco,2025,09,363698
Linea 12,Atlalilco,2025,10,390854
Linea 12,Atlalilco,2025,11,406580
Linea 12,Atlalilco,2025,12,353453
Linea 12,Atlalilco,2026,01,345677
Linea 12,Atlalilco,2026,02,341221
Linea 12,Atlalilco,2026,03,367483
Linea 12,Atlalilco,2026,04,344770
Linea 12,Atlalilco,2026,05,355612
Linea 12,Atlalilco,2026,06,344272
Linea 12,Atlalilco,2026,07,344105
Linea 12,Calle 11,2010,01,0
Linea 12,Calle 11,2010,02,0
Linea 12,Calle 11,2010,03,0
Linea 12,Calle 11,2010,04,0
Linea 12,Calle 11,2010,05,0
Linea 12,Calle 11,2010,06,0
Linea 12,Calle 11,2010,07,0
Linea 12,Calle 11,2010,08,0
Linea 12,Calle 11,2010,09,0
Linea 12,Calle 11,2010,10,0
Linea 12,Calle 11,2010,11,0
Linea 12,Calle 11,2010,12,0
Linea 12,Calle 11,2011,01,0
Linea 12,Calle 11,2011,02,0
Linea 12,Calle 11,2011,03,0
Linea 12,Calle 11,2011,04,0
Linea 12,Calle 11,2011,05,0
Linea 12,Calle 11,2011,06,0
Linea 12,Calle 11,2011,07,0
Linea 12,Calle 11,2011,08,0
Linea 12,Calle 11,2011,09,0
Linea 12,Calle 11,2011,10,0
Linea 12,Calle 11,2011,11,0
Linea 12,Calle 11,2011,12,0
Linea 12,Calle 11,2012,01,0
Linea 12,Calle 11,2012,02,0
Linea 12,Calle 11,2012,03,0
Linea 12,Calle 11,2012,04,0
Linea 12,Calle 11,2012,05,0
Linea 12,Calle 11,2012,06,0
Linea 12,Calle 11,2012,07,0
Linea 12,Calle 11,2012,08,0
Linea 12,Calle 11,2012,09,0
Linea 12,Calle 11,2012,10,0
Linea 12,Calle 11,2012,11,277450
Linea 12,Calle 11,2012,12,317070
Linea 12,Calle 11,2013,01,330645
Linea 12,Calle 11,2013,02,310069
Linea 12,Calle 11,2013,03,317352
Linea 12,Calle 11,2013,04,360191
Linea 12,Calle 11,2013,05,373785
Linea 12,Calle 11,2013,06,373662
Linea 12,Calle 11,2013,07,394950
Linea 12,Calle 11,2013,08,401902
Linea 12,Calle 11,2013,09,392796
Linea 12,Calle 11,2013,10,435295
Linea 12,Calle 11,2013,11,420349
