fecha,modo,afluencia
2005-07-26,Metrobús,3032667
2005-07-27,Metrobús,230465
2005-07-28,Metrobús,237296
2005-07-29,Metrobús,258356
2005-07-30,Metrobús,159470
2005-07-31,Metrobús,104834
2005-08-01,Metrobús,262284
2005-08-02,Metrobús,231380
2005-08-03,Metrobús,255913
2005-08-04,Metrobús,262391
2005-08-05,Metrobús,255451
2005-08-06,Metrobús,150359
2005-08-07,Metrobús,92772
2005-08-08,Metrobús,243225
2005-08-09,Metrobús,231392
2005-08-10,Metrobús,266176
2005-08-11,Metrobús,237619
2005-08-12,Metrobús,266437
2005-08-13,Metrobús,166912
2005-08-14,Metrobús,101768
2005-08-15,Metrobús,264223
2005-08-16,Metrobús,257282
2005-08-17,Metrobús,273564
2005-08-18,Metrobús,265590
2005-08-19,Metrobús,279058
2005-08-20,Metrobús,150914
2005-08-21,Metrobús,106369
2005-08-22,Metrobús,248816
2005-08-23,Metrobús,241732
2005-08-24,Metrobús,271417
2005-08-25,Metrobús,237583
2005-08-26,Metrobús,277061
2005-08-27,Metrobús,146053
2005-08-28,Metrobús,104760
2005-08-29,Metrobús,257559
2005-08-30,Metrobús,269336
2005-08-31,Metrobús,264626
2005-09-01,Metrobús,264803
2005-09-02,Metrobús,279346
2005-09-03,Metrobús,149127
2005-09-04,Metrobús,103497
2005-09-05,Metrobús,249980
2005-09-06,Metrobús,275915
2005-09-07,Metrobús,263641
2005-09-08,Metrobús,265408
2005-09-09,Metrobús,263955
2005-09-10,Metrobús,145220
2005-09-11,Metrobús,124012
2005-09-12,Metrobús,258336
2005-09-13,Metrobús,260033
2005-09-14,Metrobús,282737
2005-09-15,Metrobús,237573
2005-09-16,Metrobús,131751
2005-09-17,Metrobús,77255
2005-09-18,Metrobús,84272
2005-09-19,Metrobús,255389
2005-09-20,Metrobús,264266
2005-09-21,Metrobús,268742
2005-09-22,Metrobús,264906
2005-09-23,Metrobús,262771
2005-09-24,Metrobús,174079
2005-09-25,Metrobús,99919
2005-09-26,Metrobús,252055
2005-09-27,Metrobús,261186
2005-09-28,Metrobús,288347
2005-09-29,Metrobús,275304
2005-09-30,Metrobús,273446
2005-10-01,Metrobús,153037
2005-10-02,Metrobús,139556
2005-10-03,Metrobús,233562
2005-10-04,Metrobús,246407
2005-10-05,Metrobús,246121
2005-10-06,Metrobús,279064
2005-10-07,Metrobús,165978
2005-10-08,Metrobús,146811
2005-10-09,Metrobús,115198
2005-10-10,Metrobús,267690
2005-10-11,Metrobús,201420
2005-10-12,Metrobús,211749
2005-10-13,Metrobús,235016
2005-10-14,Metrobús,216301
2005-10-15,Metrobús,90167
2005-10-16,Metrobús,121137
2005-10-17,Metrobús,207076
2005-10-18,Metrobús,150732
2005-10-19,Metrobús,233208
2005-10-20,Metrobús,260360
2005-10-21,Metrobús,220772
2005-10-22,Metrobús,96299
2005-10-23,Metrobús,118423
2005-10-24,Metrobús,214043
2005-10-25,Metrobús,218329
2005-10-26,Metrobús,223572
2005-10-27,Metrobús,191641
2005-10-28,Metrobús,247969
2005-10-29,Metrobús,72985
2005-10-30,Metrobús,120896
2005-10-31,Metrobús,213697
2005-11-01,Metrobús,188716
2005-11-02,Metrobús,106756
2005-11-03,Metrobús,222354
2005-11-04,Metrobús,187477
2005-11-05,Metrobús,157045
2005-11-06,Metrobús,83658
2005-11-07,Metrobús,223459
2005-11-08,Metrobús,162998
2005-11-09,Metrobús,230497
2005-11-10,Metrobús,227223
2005-11-11,Metrobús,235139
2005-11-12,Metrobús,136907
2005-11-13,Metrobús,66944
2005-11-14,Metrobús,237957
2005-11-15,Metrobús,233278
2005-11-16,Metrobús,231373
2005-11-17,Metrobús,240167
2005-11-18,Metrobús,237030
2005-11-19,Metrobús,137233
2005-11-20,Metrobús,65695
2005-11-21,Metrobús,220687
2005-11-22,Metrobús,233665
2005-11-23,Metrobús,241269
2005-11-24,Metrobús,237822
2005-11-25,Metrobús,243386
2005-11-26,Metrobús,108038
2005-11-27,Metrobús,91846
2005-11-28,Metrobús,235465
2005-11-29,Metrobús,232591
2005-11-30,Metrobús,248064
2005-12-01,Metrobús,241326
2005-12-02,Metrobús,257589
2005-12-03,Metrobús,140334
2005-12-04,Metrobús,69172
2005-12-05,Metrobús,244344
2005-12-06,Metrobús,235378
2005-12-07,Metrobús,236155
2005-12-08,Metrobús,240949
2005-12-09,Metrobús,257655
2005-12-10,Metrobús,139220
2005-12-11,Metrobús,64149
2005-12-12,Metrobús,191673
2005-12-13,Metrobús,239942
2005-12-14,Metrobús,238186
2005-12-15,Metrobús,264288
2005-12-16,Metrobús,258152
2005-12-17,Metrobús,127259
2005-12-18,Metrobús,71348
2005-12-19,Metrobús,217282
2005-12-20,Metrobús,225846
2005-12-21,Metrobús,219905
2005-12-22,Metrobús,204220
2005-12-23,Metrobús,186059
2005-12-24,Metrobús,69584
2005-12-25,Metrobús,54298
2005-12-26,Metrobús,147057
2005-12-27,Metrobús,146672
2005-12-28,Metrobús,152093
2005-12-29,Metrobús,155563
2005-12-30,Metrobús,146781
2005-12-31,Metrobús,93486
2006-01-01,Metrobús,28080
2006-01-02,Metrobús,165127
2006-01-03,Metrobús,189170
2006-01-04,Metrobús,203064
2006-01-05,Metrobús,210237
2006-01-06,Metrobús,192893
2006-01-07,Metrobús,143525
2006-01-08,Metrobús,33796
2006-01-09,Metrobús,229030
2006-01-10,Metrobús,226298
2006-01-11,Metrobús,234944
2006-01-12,Metrobús,231492
2006-01-13,Metrobús,241192
2006-01-14,Metrobús,162937
2006-01-15,Metrobús,42586
2006-01-16,Metrobús,231786
2006-01-17,Metrobús,231904
2006-01-18,Metrobús,237507
2006-01-19,Metrobús,225403
2006-01-20,Metrobús,264321
2006-01-21,Metrobús,149979
2006-01-22,Metrobús,43662
2006-01-23,Metrobús,237101
2006-01-24,Metrobús,241035
2006-01-25,Metrobús,242176
2006-01-26,Metrobús,234442
2006-01-27,Metrobús,256966
2006-01-28,Metrobús,174331
